"model","name","aurc_random","aurc_grouped","repair_grouped","cov_grouped"
"xgboost","electricity",0.03084,0.22391,0.38899,0.6193
"lightgbm","electricity",0.02946,0.24417,0.39195,0.5865
"xgboost","eucalyptus",0.19177,0.22083,0.33979,0.8966
"lightgbm","eucalyptus",0.20058,0.14291,0.56375,0.8828
"xgboost","adult",0.02904,0.06092,0.67121,0.8932
"lightgbm","adult",0.02965,0.06315,0.66888,0.8892
"xgboost","cylinder-bands",0.10463,0.28121,0.29136,0.6603
"lightgbm","cylinder-bands",0.11271,0.26035,0.28062,0.7175
"xgboost","churn",0.02704,0.02652,0.48165,0.9126
"lightgbm","churn",0.02284,0.02463,0.51241,0.8996
"xgboost","Moneyball",17.9307,19.50624,-0.02483,0.9194
"lightgbm","Moneyball",17.5669,18.70917,0.01014,0.9169
"xgboost","kick",0.05264,0.05744,0.46055,0.8929
"lightgbm","kick",0.05274,0.05589,0.47125,0.8913
"xgboost","black_friday",1972.99008,2106.7129,0.26624,0.8862
"lightgbm","black_friday",1988.89825,2054.5947,0.26609,0.8928
"xgboost","house_prices_nominal",11169.55148,11206.26364,0.26336,0.9471
"lightgbm","house_prices_nominal",10816.53987,11520.57967,0.27351,0.935
"xgboost","colleges",0.06645,0.07074,0.33907,0.8868
"lightgbm","colleges",0.06541,0.06897,0.35214,0.8994
"xgboost","Airlines_DepDelay_10M",10.64881,11.4141,0.31965,0.8718
"lightgbm","Airlines_DepDelay_10M",10.43579,10.85868,0.33106,0.8746
"xgboost","nyc-taxi-green-dec-2016",0.34898,0.40624,0.51335,0.8915
"lightgbm","nyc-taxi-green-dec-2016",0.36444,0.42507,0.50284,0.8945
"xgboost","house_sales",34323.65064,58225.29456,0.26779,0.8474
"lightgbm","house_sales",35973.43626,55921.19598,0.31715,0.8561
"xgboost","sf-police-incidents",0.09624,0.09918,0.14348,0.9018
"lightgbm","sf-police-incidents",0.09589,0.09647,0.20505,0.9051
